 ,Area,Mean,StdDev,Min,Max,Angle,Length
1,22.594,148.043,13.164,98.677,179.100,-111.615,35.582
2,21.036,150.875,8.477,124.195,165.698,-95.389,33.226
3,19.088,153.062,8.113,126.309,172.539,-71.940,30.198
4,18.309,146.844,11.435,126.957,182.913,-85.030,28.819
5,19.478,149.081,13.207,115.443,176.949,-23.962,30.736
6,23.763,152.386,7.115,133.807,172.120,-72.474,37.308
7,15.193,148.377,9.785,125.115,179.783,-118.610,23.461
8,14.024,146.859,11.341,119.465,170.986,-28.740,22.067
9,10.518,156.173,5.679,148.053,167.959,17.745,16.383
10,18.699,158.445,12.117,130.639,191.886,-38.089,29.341
11,16.361,158.485,9.250,148.642,194.268,-4.185,25.658
12,15.193,149.236,6.167,138.333,169.842,-86.987,23.750
13,18.309,153.151,7.473,134.985,172.898,106.460,28.636
14,15.972,158.944,11.214,135.373,185.933,-53.130,24.966
15,22.205,157.095,13.615,113.522,185.405,-41.379,34.935
16,19.867,146.263,13.678,103.306,181.680,33.690,31.505
17,28.827,157.324,14.649,113.465,190.091,-52.815,45.438
18,14.414,144.233,10.934,115.870,157.917,-102.875,22.408
19,37.787,151.733,10.586,129.278,177.521,-35.676,59.931
20,25.711,150.794,7.311,132.436,171.246,-83.853,40.804
21,21.815,145.153,17.360,80.377,179.397,-49.399,34.526
22,26.879,153.430,8.339,126.862,173.397,-34.854,42.593
23,19.867,146.498,9.314,122.351,168.234,-39.369,31.487
24,13.245,145.103,9.587,126.354,168.343,42.510,20.321
25,12.076,151.723,14.927,112.007,170.083,-55.784,18.869
26,23.373,146.039,7.091,125.686,158.232,-11.689,36.967
27,9.739,146.560,5.636,132.569,152.500,-2.386,14.992
28,13.634,151.538,6.551,132.833,160.000,-91.685,21.230
29,13.634,149.469,15.291,110.582,180.998,36.529,20.972
30,16.751,155.425,8.972,129.847,175.932,71.996,26.251
31,14.803,147.363,10.610,110.455,159.251,-32.829,23.026
32,18.699,157.443,7.725,136.402,178.180,-75.069,29.068
33,34.281,145.512,8.071,119.483,161.276,-2.632,54.358
34,15.193,143.559,9.372,118.796,156.945,18.435,23.685
35,16.751,163.293,12.066,137.567,199.027,-35.218,25.975
36,8.181,151.130,8.532,132.208,164.308,59.534,12.310
37,14.024,143.641,8.227,121.648,151.781,-3.270,21.881
38,13.245,151.667,0.000,151.667,151.667,-90.000,20.597
39,11.297,157.681,6.161,145.632,169.360,-71.565,17.763
40,20.646,149.819,11.601,119.168,173.617,-32.471,32.551
41,22.205,147.779,12.613,116.833,180.833,-82.875,35.224
42,14.024,152.027,6.643,137.343,162.067,-83.480,21.987
43,19.088,128.817,19.657,86.893,154.318,-39.036,29.730
44,18.699,150.123,9.075,124.267,173.300,-107.281,29.414
45,17.140,145.401,6.144,130.891,164.054,-95.315,26.954
46,13.634,146.401,8.650,126.686,170.333,-91.685,21.230
47,13.634,151.667,0.000,151.667,151.667,-90.000,21.221
48,14.803,145.390,8.027,120.851,158.477,-77.471,23.017
49,23.373,147.337,10.073,124.365,181.362,-63.869,36.846
50,8.181,159.704,7.884,150.950,177.329,-122.905,12.638
51,13.634,153.586,8.733,128.454,170.412,-17.354,20.925
52,25.711,145.191,8.254,121.410,158.436,-4.399,40.689
53,20.257,138.099,12.278,89.690,155.789,37.093,32.081
54,21.426,145.824,10.760,113.309,164.784,-7.386,33.986
55,16.751,146.995,8.139,126.169,161.931,-109.290,26.451
56,14.803,142.767,11.213,110.757,157.161,49.399,23.017
57,15.582,146.038,8.224,121.776,158.915,-29.197,24.310
58,33.112,141.942,14.286,106.899,169.833,-53.673,52.680
59,21.815,142.528,10.271,112.017,157.258,-15.803,34.379
60,17.140,146.981,11.681,98.977,163.885,62.241,26.802
61,11.297,147.815,9.934,122.177,168.833,-77.471,17.263
62,22.594,149.254,11.218,104.328,166.399,50.711,35.483
63,14.803,152.224,7.806,134.775,169.955,1.548,23.102
64,14.803,158.360,11.930,128.580,178.723,43.919,23.395
65,12.466,153.607,8.274,137.706,169.565,-45.000,19.419
66,16.751,145.792,7.816,120.524,157.127,-84.560,26.333
67,16.751,134.564,10.879,110.076,151.667,-26.565,26.517
68,22.594,134.825,13.359,104.883,159.895,-82.999,35.843
69,19.478,137.202,11.781,109.463,153.653,25.514,30.430
70,13.634,159.098,6.184,151.667,174.433,-73.142,21.522
71,18.699,138.265,12.970,106.147,151.667,-28.217,29.041
72,15.582,152.884,5.282,140.120,167.593,-25.907,24.286
73,17.920,144.353,10.882,106.481,170.037,-6.340,28.259
74,13.634,156.641,6.157,147.706,172.255,-86.634,21.258
75,26.100,152.311,5.276,140.466,167.087,-12.339,40.890
76,8.570,153.980,11.932,124.130,170.259,-50.906,12.867
77,20.257,161.919,10.879,143.376,186.092,-59.421,31.899
78,13.245,166.569,11.135,151.667,198.374,-98.616,20.832
79,23.763,159.029,13.947,109.213,201.053,-36.870,37.449
80,23.373,141.157,10.530,109.576,156.819,41.553,36.697
81,10.908,138.425,10.930,115.519,151.667,-26.565,16.748
82,8.181,146.410,8.628,128.417,157.333,-87.138,12.498
83,10.518,132.729,15.466,101.517,151.667,-54.462,16.107
84,19.867,151.186,8.432,127.060,171.747,-74.846,31.038
85,14.414,153.264,8.996,135.444,172.833,-4.764,22.547
86,15.582,146.645,12.459,114.837,178.062,-37.747,24.469
87,28.438,129.438,17.236,86.284,153.469,-31.921,44.856
88,17.530,127.532,21.751,74.580,151.667,25.408,27.639
89,15.972,159.943,7.148,151.667,175.333,-97.125,25.160
90,20.257,150.365,6.565,127.744,164.111,27.072,31.542
91,15.972,141.805,9.236,115.655,153.373,66.615,25.160
92,20.257,152.129,10.529,124.957,171.358,66.949,31.880
93,17.920,150.563,7.896,129.774,169.453,-63.435,27.913
94,13.245,152.676,4.042,139.257,160.264,15.709,20.747
95,18.309,144.113,13.292,108.572,162.007,-60.101,28.799
96,21.426,139.371,8.588,121.494,151.667,-2.121,33.727
97,9.349,150.312,4.523,139.936,156.462,12.804,14.081
98,26.879,127.704,17.124,87.817,151.667,-81.511,42.281
99,19.478,140.674,21.923,90.407,173.762,-35.942,30.837
100,23.763,156.638,10.075,133.639,182.667,-41.634,37.578
101,15.972,162.335,9.983,148.110,189.183,51.116,24.856
102,23.763,153.987,8.669,125.299,173.544,-45.674,37.516
103,15.193,149.159,6.825,125.737,161.250,-37.476,23.594
104,44.020,128.602,18.250,80.782,158.898,39.542,69.605
105,9.349,134.426,12.210,108.783,151.667,80.134,14.571
106,17.920,139.916,12.079,101.962,158.360,-105.593,27.864
107,18.699,148.086,13.160,111.029,179.857,-25.463,29.034
108,12.855,150.481,4.750,137.333,159.688,84.644,20.060
109,12.466,153.970,6.968,139.280,170.215,5.528,19.439
110,14.024,146.625,10.397,123.340,168.660,-42.709,22.084
111,22.205,148.982,8.158,126.619,170.973,-22.932,35.241
112,15.972,151.772,12.163,118.768,182.043,18.886,25.067
