Molecular weight (g/mol),WF / dLog MW
"210608_P-SS065, Injection 1","210608_P-SS065, Injection 1"
506970.0313,0.001407415
505710.8125,0.001424153
504453.0938,0.001443543
503199.0313,0.001461306
501946.9688,0.00148066
500698.0625,0.00149817
499450.5938,0.001518635
498206.7813,0.001537301
496964.9688,0.001556267
495725.1875,0.001577476
494489,0.00159692
493254.8438,0.001618046
492023.7813,0.001637205
490794.1563,0.001659517
489568.125,0.001679996
488344.0938,0.001702177
487123.125,0.001723154
485904.1563,0.001745112
484687.6875,0.001768967
483474.8125,0.001789172
482262.8438,0.001814359
481054.9688,0.001836727
479849.0625,0.001860152
478645.6563,0.001883138
477444.25,0.001908777
476246.3438,0.001933942
475051.4375,0.001956091
473857.4688,0.001983668
472667.5313,0.002008116
471479.5625,0.0020346
470294.5625,0.002058768
469111,0.00208689
467930.9375,0.002114375
466753.8125,0.002139598
465578.1563,0.002168682
464405.9375,0.002196425
463236.1875,0.002224484
462068.875,0.002251827
460903.4688,0.002282607
459741.5313,0.002311726
458582,0.00234124
457424.9063,0.002372132
456270.7188,0.002402419
455118.9688,0.002433051
453969.5938,0.002463077
452822.1563,0.002497764
451678.5938,0.002528542
450536.9375,0.002561914
449398.1563,0.002593533
448261.2813,0.002628861
447127.75,0.002662435
445996.625,0.002695256
444867.375,0.002732028
443741.4688,0.002766891
442617.9375,0.002803348
441497.2188,0.002836797
440377.9063,0.002876762
439262.4063,0.002913431
438149.25,0.002949338
437037.9375,0.002989556
435929.9375,0.003029114
434824.75,0.003067693
433721.875,0.003105545
432620.8438,0.003147889
431523.0938,0.003189444
430428.125,0.003228809
429335,0.003271354
428244.625,0.003316091
427157.5313,0.00335685
426072.2188,0.003401313
424989.6875,0.003446169
423909.9063,0.003490162
422832.4063,0.003536245
421757.625,0.003581343
420685.125,0.00362869
419615.3438,0.003676665
418548.3125,0.003721936
417483.0625,0.003774242
416421.4063,0.003822534
415362.0313,0.003871399
414304.9063,0.003920625
413249.9688,0.00397427
412198.2188,0.004026636
411149.125,0.004076336
410101.8125,0.004131861
409057.5938,0.00418641
408016.0313,0.004241813
406977.1563,0.004294003
405940,0.004352767
404905.9688,0.004409978
403874.5313,0.004464471
402844.8438,0.004525452
401818.25,0.004587071
400794.6875,0.004645678
399773.3125,0.004702934
398753.6563,0.004769181
397737.4688,0.00483012
396723.4375,0.004891803
395711.5625,0.004958338
394702.6875,0.005023941
393696.4063,0.00509014
392692.6563,0.005155259
391691.0625,0.005225537
390692.4375,0.005292452
389695.9688,0.005364529
388702.4375,0.005430685
387710.5938,0.005504682
386721.6875,0.005577287
385735.3125,0.005648503
384751.0313,0.00572564
383769.6875,0.005801317
382790.875,0.005877865
381814.5313,0.005952758
380840.25,0.006033951
379868.875,0.00611114
378899.5625,0.00619445
377933.1563,0.006276142
376969.1875,0.00635919
376007.7188,0.006440201
375048.25,0.006530985
374092.0625,0.006611541
373137.5,0.006701578
372185.7813,0.006790046
371236.4688,0.00688
370289.625,0.006970569
369345.1563,0.007065572
368403.5,0.007156178
367463.875,0.007253241
366527,0.007349514
365592.5625,0.007442884
