p1 mw,p1 WF,p2 mw,p2 WF
506970.0313,0.0,2713631232,0.0
505710.8125,9.281616283114459e-07,2703027200,3.3629085405246146e-06
504453.0938,2.003382919562422e-06,2692452864,6.764856890451867e-06
503199.0313,2.9883832185047206e-06,2681908224,1.005065374133e-05
501946.9688,4.061608224738411e-06,2671387136,1.3694261737889974e-05
500698.0625,5.032579076198168e-06,2660901632,1.737642557927319e-05
499450.5938,6.167411656159547e-06,2650451200,2.09619578263086e-05
498206.7813,7.202485437618588e-06,2640030464,2.4740753262039654e-05
496964.9688,8.25419492755495e-06,2629644800,2.8244656816687752e-05
495725.1875,9.43028406454009e-06,2619282688,3.1956987783518484e-05
494489,1.0508499783316983e-05,2608950016,3.605245737568478e-05
493254.8438,1.1679986374290068e-05,2598658048,3.9695742729191835e-05
492023.7813,1.2742398170013515e-05,2588389632,4.3900588316296046e-05
490794.1563,1.3979651261833607e-05,2578161920,4.746450347878619e-05
489568.125,1.5115260174857272e-05,2567952128,5.176339951581492e-05
488344.0938,1.6345249007308944e-05,2557782528,5.5956307309961296e-05
487123.125,1.7508473196404958e-05,2547647744,5.9836735307360276e-05
485904.1563,1.872609615222182e-05,2537536256,6.432437753034381e-05
484687.6875,2.0048912237976952e-05,2527465216,6.847905212271983e-05
483474.8125,2.1169327203924654e-05,2517422848,7.26995458978904e-05
482262.8438,2.2566005835319106e-05,2507409408,7.73427020723785e-05
481054.9688,2.380636425938831e-05,2497435648,8.148995587453755e-05
479849.0625,2.5105335829659276e-05,2487485440,8.625910416118866e-05
478645.6563,2.6379963813191765e-05,2477574656,9.07033508935552e-05
477444.25,2.780170691202538e-05,2467692544,9.520954509208132e-05
476246.3438,2.919716559146482e-05,2457839360,0.00010015453384257067
475051.4375,3.042537994834559e-05,2448025088,0.00010477687954014585
473857.4688,3.195458972394271e-05,2438239488,0.00010987173598871387
472667.5313,3.331028906012134e-05,2428493056,0.00011440164445162908
471479.5625,3.477888940449943e-05,2418769664,0.00011940196648569327
470294.5625,3.6119062079432555e-05,2409079808,0.0001249159362599968
469111,3.7678493392096826e-05,2399434240,0.00012961136060905706
467930.9375,3.920260155042756e-05,2389811200,0.00013504773472913472
466753.8125,4.060127646683929e-05,2380227072,0.00013988125030484227
465578.1563,4.221405295135416e-05,2370665728,0.0001454371636760246
464405.9375,4.375246781897541e-05,2361142528,0.00015108341710202302
463236.1875,4.530840563285943e-05,2351657728,0.00015634879040405612
462068.875,4.682463955584424e-05,2342200832,0.00016189066880243675
460903.4688,4.8531463245617566e-05,2332776704,0.00016752917879516517
