Data File	C:\Users\GPC\Documents\OmniSEC Data\Salty\2023 01 Jan\2023-02-16_15;04;39_230216_SS_P-SS065_01.vdt
Sample ID	230216 SS P-SS065
Method File Name	202301JanCalibration-0011.vcm
Date Acquired	Feb 16, 2023 - 15:04:39
Solvent	THF
Operator	admin : Administrator
Column Set	GMHxl
System	Salty
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	 0.000
Col. Temp (Deg C)	35.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 0.800	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	29.140

Ret. Vol.	 17.12
Mn - (Daltons)	 18325
Mw - (Daltons)	 28032
Mz - (Daltons)	 39177
Mp - (Daltons)	 27717
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	279.15
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	IV - DP	IV -  IP	Adjusted RI	Adjusted UV	Adjusted IV - DP	Adjusted IV -  IP	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.00000	21.744	-0.021	290.384	29.78301										
0.00333	21.592	-0.013	290.613	29.75555										
0.00667	21.058	-0.004	290.765	29.73418										
0.01000	20.981	 0.004	290.765	29.70672										
0.01333	21.241	 0.013	290.658	29.72869										
0.01667	20.936	 0.021	290.796	29.69573										
0.02000	20.631	-0.013	290.948	29.66094										
0.02333	20.417	-0.047	291.086	29.62493										
0.02667	20.127	-0.081	291.238	29.58708										
0.03000	19.822	-0.115	291.406	29.54985										
0.03333	19.593	-0.145	291.574	29.51445										
0.03667	19.364	-0.069	291.726	29.47966										
0.04000	19.059	 0.007	291.879	29.44365										
0.04333	18.784	 0.083	292.032	29.40641										
0.04667	18.540	 0.160	292.215	29.36735										
0.05000	18.235	 0.228	292.413	29.32707										
0.05333	17.930	 0.143	292.596	29.28678										
0.05667	17.685	 0.059	292.779	29.24528										
0.06000	17.396	-0.026	293.008	29.20316										
0.06333	17.136	-0.111	293.252	29.16288										
0.06667	16.953	-0.189	293.466	29.12626										
0.07000	16.739	-0.172	293.649	29.09207										
0.07333	16.541	-0.155	293.832	29.05911										
0.07667	16.404	-0.138	294.015	29.02982										
0.08000	16.266	-0.121	294.168	29.00540										
0.08333	16.114	-0.103	294.290	28.98404										
0.08667	15.992	-0.078	294.397	28.96329										
0.09000	15.915	-0.053	294.519	28.94497										
0.09333	15.809	-0.027	294.610	28.92910										
0.09667	15.717	-0.002	294.702	28.91446										
0.10000	15.671	 0.015	294.763	28.90103										
0.10333	15.641	-0.044	294.839	28.88760										
0.10667	15.549	-0.103	294.900	28.87478										
0.11000	15.519	-0.162	294.961	28.86379										
0.11333	15.503	-0.222	294.992	28.85403										
0.11667	15.442	-0.273	295.007	28.84365										
0.12000	15.397	-0.265	295.038	28.83450										
0.12333	15.381	-0.256	295.083	28.82717										
0.12667	15.397	-0.248	295.114	28.82168										
0.13000	15.336	-0.239	295.129	28.81741										
0.13333	15.336	-0.230	295.175	28.81314										
0.13667	15.381	-0.213	295.221	28.81008										
0.14000	15.320	-0.196	295.251	28.80947										
0.14333	15.305	-0.179	295.267	28.81008										
0.14667	15.351	-0.162	295.267	28.81130										
0.15000	15.397	-0.146	295.267	28.81314										
0.15333	15.351	-0.138	295.282	28.81741										
0.15667	15.442	-0.129	295.282	28.82351										
0.16000	15.503	-0.121	295.251	28.83084										
0.16333	15.488	-0.112	295.221	28.83816										
0.16667	15.503	-0.105	295.206	28.84670										
0.17000	15.595	-0.105	295.175	28.85708										
0.17333	15.671	-0.105	295.114	28.86807										
0.17667	15.732	-0.105	295.053	28.87844										
0.18000	15.839	-0.105	295.007	28.88760										
0.18333	15.931	-0.112	294.961	28.89676										
0.18667	15.976	-0.145	294.916	28.90591										
0.19000	16.022	-0.179	294.870	28.91446										
0.19333	16.114	-0.213	294.824	28.92117										
0.19667	16.114	-0.247	294.809	28.92789										
0.20000	16.160	-0.281	294.794	28.93460										
0.20333	16.251	-0.315	294.748	28.94070										
0.20667	16.251	-0.348	294.687	28.94559										
0.21000	16.236	-0.382	294.656	28.94925										
0.21333	16.343	-0.416	294.626	28.95230										
0.21667	16.297	-0.426	294.610	28.95596										
0.22000	16.282	-0.350	294.565	28.95901										
0.22333	16.388	-0.274	294.549	28.95962										
0.22667	16.343	-0.198	294.549	28.95962										
0.23000	16.312	-0.122	294.580	28.96084										
0.23333	16.373	-0.077	294.565	28.96268										
0.23667	16.343	-0.136	294.565	28.96390										
0.24000	16.312	-0.195	294.565	28.96573										
0.24333	16.358	-0.255	294.565	28.96817										
0.24667	16.373	-0.314	294.549	28.97244										
0.25000	16.388	-0.358	294.519	28.97610										
0.25333	16.434	-0.358	294.488	28.97854										
0.25667	16.465	-0.358	294.488	28.98099										
0.26000	16.465	-0.358	294.488	28.98465										
